category_key,category_title,source_file,repo_path,origin,status,notes
Game4_Romeo,Game 4 / Romeo / Command Authority,PW_Command_Authority_Latest_Thread_Update_2026-07-06_rev1.txt,dev_src_docs/story_campaigns/Game4/Romeo/PW_Command_Authority_Latest_Thread_Update_2026-07-06_rev1.txt,visible latest thread context,new source page,Extends open PR #13 v0.1 architecture with latest mission and Shreveport locks
Game4_Spook,Game 4 / Spook / Permanent Record,PW_Permanent_Record_Latest_Thread_Update_2026-07-06_rev1.txt,dev_src_docs/story_campaigns/Game4/Spook/PW_Permanent_Record_Latest_Thread_Update_2026-07-06_rev1.txt,visible latest thread context,new source page,Delta layer for already-landed Permanent Record mission pack
HomeDefenseDLC,Home Defense DLC,PW_Home_Defense_Latest_Thread_Update_2026-07-06_rev1.txt,dev_src_docs/story_campaigns/HomeDefenseDLC/PW_Home_Defense_Latest_Thread_Update_2026-07-06_rev1.txt,visible latest thread context,new source page,Post-Game 4 placement Lucas Hill trailer ownership ADF/J-20/mangrove locks
WarWithin,War Within / American Guerrilla,PW_American_Guerrilla_Latest_Thread_Update_2026-07-06_rev1.txt,dev_src_docs/story_campaigns/WarWithin/PW_American_Guerrilla_Latest_Thread_Update_2026-07-06_rev1.txt,visible latest thread context,new source page,Hawthorne NAF Abernathy DEAD BLOW Duke latest updates
TheCollapse,The Collapse,PW_The_Collapse_Latest_Thread_Update_2026-07-06_rev1.txt,dev_src_docs/story_campaigns/TheCollapse/PW_The_Collapse_Latest_Thread_Update_2026-07-06_rev1.txt,visible latest thread context,new source page,AID AND COMFORT and MARKED SAFE Act IV refinements
Nightfall,Nightfall,PW_Nightfall_Latest_Thread_Update_2026-07-06_rev1.txt,dev_src_docs/story_campaigns/Nightfall/PW_Nightfall_Latest_Thread_Update_2026-07-06_rev1.txt,visible latest thread context,new source page,Deluvia hazardous-trade rule Jeroen van Hal correction Long Shadows restraint
Characters,Characters / Raúl Díaz,PW_Raul_Diaz_Latest_Source_Update_2026-07-06_rev1.txt,dev_src_docs/characters/PW_Raul_Diaz_Latest_Source_Update_2026-07-06_rev1.txt,visible latest thread context,new source page,Cuban/FSB cover identity and early seeding rules
Weapons,Weapons and Equipment,PW_Named_Weapons_Latest_Source_Update_2026-07-06_rev1.txt,dev_src_docs/weapons_and_equipment/PW_Named_Weapons_Latest_Source_Update_2026-07-06_rev1.txt,visible latest thread context,new source page,BACKUP PLAN DEAD BLOW STAPLER candidate
Handoff,Synthesis / LLM Handoff,PW_LLM_Handoff_Current_Project_State_2026-07-06_rev1.txt,Project_Warriors_Knowledge_Compendia/PW_LLM_Handoff_Current_Project_State_2026-07-06_rev1.txt,branch synthesis,new synthesis page,Best first-read file for handoff to another LLM
Handoff,Synthesis / Memory Patch,PW_Project_Memory_Integration_Patch_2026-07-06_rev6.txt,Project_Warriors_Knowledge_Compendia/PW_Project_Memory_Integration_Patch_2026-07-06_rev6.txt,branch synthesis,new synthesis page,Latest project memory and thread-lock bridge
Handoff,Synthesis / Compendium Addendum,PW_Working_Compendium_Latest_Thread_Addendum_2026-07-06_rev1.txt,Project_Warriors_Knowledge_Compendia/PW_Working_Compendium_Latest_Thread_Addendum_2026-07-06_rev1.txt,branch synthesis,new compendium addendum,Maps latest updates to six-compendia structure
Governance,Open PR / Repo Audit,PW_Open_PR_and_Repo_Reconciliation_Audit_2026-07-06_rev1.txt,source_audits_and_reports/PW_Open_PR_and_Repo_Reconciliation_Audit_2026-07-06_rev1.txt,repo + open PR check,new governance page,Flags open PR #13 and #14 dependencies
Governance,Thread Archive Audit,PW_Thread_Archive_Audit_2026-07-06_rev1.txt,source_audits_and_reports/PW_Thread_Archive_Audit_2026-07-06_rev1.txt,branch audit,new governance page,Strict archive-readiness check for latest visible threads
Governance,Manifest Addendum,PW_Source_Manifest_Addendum_2026-07-06_rev1.csv,source_audits_and_reports/PW_Source_Manifest_Addendum_2026-07-06_rev1.csv,branch audit,new governance page,Inventory of July 2026 branch additions
Governance,Package Changelog,PW_Package_ChangeLog_2026-07-06_rev1.txt,source_audits_and_reports/PW_Package_ChangeLog_2026-07-06_rev1.txt,branch audit,new governance page,Change summary for July 2026 handoff branch
Governance,Handoff Review Checklist,PW_Handoff_Review_Checklist_2026-07-06_rev1.txt,source_audits_and_reports/PW_Handoff_Review_Checklist_2026-07-06_rev1.txt,branch audit,new governance page,Review order and merge cautions
